0.0000, 0.0000, 0.0000
0.1419, 0.1427, 0.1423
0.4110, 0.4133, 0.4122
0.2940, 0.2957, 0.2948
0.1051, 0.1057, 0.1054
0.9161, 0.9213, 0.9187
0.9185, 0.9238, 0.9211
0.7596, 0.7640, 0.7618
0.7290, 0.7332, 0.7311
0.7242, 0.7284, 0.7263
0.7124, 0.7165, 0.7144
0.6581, 0.6619, 0.6600
0.6587, 0.6625, 0.6606
0.6634, 0.6672, 0.6653
0.6580, 0.6618, 0.6599
0.0014, 0.0014, 0.0014
0.0637, 0.0640, 0.0639
0.0004, 0.0004, 0.0004
0.0074, 0.0075, 0.0074
0.1235, 0.1242, 0.1239
0.2191, 0.2204, 0.2198
0.0804, 0.0808, 0.0806
0.0551, 0.0555, 0.0553
0.3484, 0.3504, 0.3494
0.9412, 0.9466, 0.9439
0.8746, 0.8796, 0.8771
0.7750, 0.7794, 0.7772
0.7397, 0.7439, 0.7418
0.7275, 0.7316, 0.7295
0.6820, 0.6859, 0.6839
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0219, 0.0220, 0.0219
0.2065, 0.2077, 0.2071
0.3442, 0.3461, 0.3451
0.4071, 0.4095, 0.4083
0.9411, 0.9465, 0.9438
0.9385, 0.9438, 0.9411
0.7578, 0.7621, 0.7599
0.7349, 0.7391, 0.7370
0.7248, 0.7290, 0.7269
0.7150, 0.7191, 0.7170
0.6723, 0.6762, 0.6743
0.6599, 0.6637, 0.6618
0.6352, 0.6388, 0.6370
0.0000, 0.0000, 0.0000
0.0428, 0.0431, 0.0430
0.0072, 0.0073, 0.0072
0.0473, 0.0476, 0.0474
0.1856, 0.1866, 0.1861
0.1781, 0.1791, 0.1786
